species,train_count,soundscape_count,total_count,class_name
magtan2,77,0,77,Aves
326272,31,46,77,Amphibia
25092,29,48,77,Amphibia
whbant2,76,0,76,Aves
grepot1,75,0,75,Aves
47144,45,30,75,Mammalia
blttit1,73,0,73,Aves
sabspa1,73,0,73,Aves
47158son11,0,72,72,Insecta
47158son13,0,72,72,Insecta
rufcas2,71,0,71,Aves
bafcur1,53,18,71,Aves
whlspi1,70,0,70,Aves
ficman1,68,0,68,Aves
47158son03,0,66,66,Insecta
bcwfin2,66,0,66,Aves
47158son10,0,66,66,Insecta
65377,46,18,64,Amphibia
blchaw1,59,0,59,Aves
yecmac,50,0,50,Aves
47158son23,0,48,48,Insecta
47158son22,0,48,48,Insecta
47158son24,0,48,48,Insecta
47158son01,0,46,46,Insecta
47158son21,0,44,44,Insecta
cibspi1,42,0,42,Aves
nacnig1,19,22,41,Aves
43435,15,24,39,Mammalia
platyr1,38,0,38,Aves
rufcac2,37,0,37,Aves
47158son06,0,36,36,Insecta
67107,17,18,35,Amphibia
47158son04,0,34,34,Insecta
47158son08,0,34,34,Insecta
22956,32,0,32,Amphibia
yebcar,31,0,31,Aves
lesgrf1,30,0,30,Aves
116570,1,26,27,Reptilia
516975,1,26,27,Mammalia
47158son14,0,24,24,Insecta
47158son15,0,24,24,Insecta
47158son18,0,24,24,Insecta
25073,0,24,24,Amphibia
47158son16,0,24,24,Insecta
47158son20,0,24,24,Insecta
dwatin1,23,0,23,Aves
41970,21,0,21,Mammalia
24285,19,0,19,Amphibia
ocecra1,15,0,15,Aves
47158son02,0,14,14,Insecta
74113,10,4,14,Mammalia
47158son09,0,12,12,Insecta
1176823,12,0,12,Amphibia
24287,12,0,12,Amphibia
1161364,11,0,11,Insecta
22983,10,0,10,Amphibia
47158son12,0,10,10,Insecta
47158son19,0,10,10,Insecta
67252,6,4,10,Amphibia
555145,9,0,9,Amphibia
760266,7,0,7,Insecta
22985,6,0,6,Amphibia
22930,6,0,6,Amphibia
47158son05,0,6,6,Insecta
738183,5,0,5,Mammalia
1595929,5,0,5,Amphibia
23154,5,0,5,Amphibia
23176,4,0,4,Amphibia
25214,3,0,3,Amphibia
64898,3,0,3,Amphibia
476521,3,0,3,Amphibia
555123,3,0,3,Amphibia
74580,3,0,3,Mammalia
sptnig1,3,0,3,Aves
70711,2,0,2,Amphibia
209233,2,0,2,Mammalia
23150,1,0,1,Amphibia
23724,1,0,1,Amphibia
