primary_label,inat_taxon_id,scientific_name,common_name,class_name
chobla1,10723,Gnorimopsar chopi,Chopi Blackbird,Aves
cibspi1,10921,Synallaxis hypospodia,Cinereous-breasted Spinetail,Aves
coffal1,4698,Micrastur semitorquatus,Collared Forest-Falcon,Aves
crbthr1,12710,Turdus amaurochalinus,Creamy-bellied Thrush,Aves
crebec1,8681,Pachyramphus validus,Crested Becard,Aves
dwatin1,20714,Taoniscus nanus,Dwarf Tinamou,Aves
epaori4,72954,Icterus pyrrhopterus,Variable Oriole,Aves
eulfly1,17231,Lathrotriccus euleri,Euler's Flycatcher,Aves
fabwre1,144880,Cantorchilus guarayanus,Fawn-breasted Wren,Aves
fepowl,19822,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves
ficman1,14344,Machaeropterus pyrocephalus,Fiery-capped Manakin,Aves
flawar1,201223,Myiothlypis flaveola,Flavescent Warbler,Aves
fotfly,16793,Tyrannus savana,Fork-tailed Flycatcher,Aves
gilhum1,5979,Hylocharis chrysura,Gilded Hummingbird,Aves
giwrai1,460,Aramides ypecaha,Giant Wood Rail,Aves
glteme1,1289639,Chionomesa fimbriata,Glittering-throated Emerald,Aves
grasal3,9850,Saltator coerulescens,Bluish-grey Saltator,Aves
greani1,1970,Crotophaga major,Greater Ani,Aves
greant1,15957,Taraba major,Great Antshrike,Aves
greela,16892,Myiopagis viridicata,Greenish Elaenia,Aves
grepot1,19680,Nyctibius grandis,Great Potoo,Aves
gretho2,11632,Phacellodomus ruber,Greater Thornbird,Aves
greyel,3892,Tringa melanoleuca,Greater Yellowlegs,Aves
grfdov1,3302,Leptotila rufaxilla,Grey-fronted Dove,Aves
grhtan1,10698,Eucometis penicillata,Grey-headed Tanager,Aves
gycwor1,513889,Aramides cajaneus,Grey-cowled Wood Rail,Aves
horscr1,6908,Anhima cornuta,Horned Screamer,Aves
houspa,13858,Passer domesticus,House Sparrow,Aves
larela1,16734,Elaenia spectabilis,Large Elaenia,Aves
lesela1,578460,Elaenia chiriquensis,Lesser Elaenia,Aves
lesgrf1,10555,Emberizoides ypiranganus,Lesser Grass-Finch,Aves
linwoo1,17858,Dryocopus lineatus,Lineated Woodpecker,Aves
litcuc2,72740,Coccycua minuta,Little Cuckoo,Aves
mabpar,19162,Pyrrhura frontalis,Maroon-bellied Parakeet,Aves
magtan2,72727,Cissopis leverianus,Magpie Tanager,Aves
masgna1,7509,Polioptila dumicola,Masked Gnatcatcher,Aves
ocecra1,1506288,Rufirallus schomburgkii,Ocellated Crake,Aves
oliwoo1,11511,Sittasomus griseicapillus,Olivaceous Woodcreeper,Aves
orbtro3,62564,Icterus croconotus,Orange-backed Troupial,Aves
osprey,116999,Pandion haliaetus,Osprey,Aves
pabspi1,10999,Synallaxis albescens,Pale-breasted Spinetail,Aves
palhor3,11281,Furnarius leucopus,Pale-legged Hornero,Aves
paltan1,10297,Thraupis palmarum,Palm Tanager,Aves
phecuc1,1982,Dromococcyx phasianellus,Pheasant Cuckoo,Aves
picpig2,3102,Patagioenas picazuro,Picazuro Pigeon,Aves
pirfly1,17312,Legatus leucophaius,Piratic Flycatcher,Aves
plasla1,73493,Thamnophilus pelzelni,Planalto Slaty Antshrike,Aves
platyr1,16344,Inezia inornata,Plain Inezia,Aves
pluibi1,3768,Theristicus caerulescens,Plumbeous Ibis,Aves
pvttyr1,16273,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,Aves
ragmac1,19016,Ara chloropterus,Red-and-green Macaw,Aves
rebscy1,11201,Campylorhamphus trochilirostris,Red-billed Scythebill,Aves
recfin1,10310,Coryphospingus cucullatus,Red-crested Finch,Aves
relser1,14,Cariama cristata,Red-legged Seriema,Aves
rinkin1,2552,Megaceryle torquata,Ringed Kingfisher,Aves
rivwar1,145267,Myiothlypis rivularis,Riverbank Warbler,Aves
roahaw,201041,Rupornis magnirostris,Roadside Hawk,Aves
rubthr1,12738,Turdus rufiventris,Rufous-bellied Thrush,Aves
rufcac2,11718,Pseudoseisura unirufa,Rufous Cacholote,Aves
rufcas2,17102,Casiornis rufus,Rufous Casiornis,Aves
rufgna3,578313,Conopophaga lineata,Rufous Gnateater,Aves
rufnig1,201066,Antrostomus rufus,Rufous Nightjar,Aves
ruftho1,11624,Phacellodomus rufifrons,Rufous-fronted Thornbird,Aves
ruftof1,17026,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Aves
rumfly1,16833,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves
sabspa1,10064,Arremon flavirostris,Saffron-billed Sparrow,Aves
saffin,9864,Sicalis flaveola,Saffron Finch,Aves
saytan1,10293,Thraupis sayaca,Sayaca Tanager,Aves
scadov1,3564,Columbina squammata,Scaled Dove,Aves
schpar1,19094,Pionus maximiliani,Scaly-headed Parrot,Aves
scther1,5622,Phaethornis eurynome,Scale-throated Hermit,Aves
shcfly1,16006,Myiarchus ferox,Short-crested Flycatcher,Aves
shshaw,5097,Accipiter striatus,Sharp-shinned Hawk,Aves
shtnig1,19645,Lurocalis semitorquatus,Short-tailed Nighthawk,Aves
smbani,1971,Crotophaga ani,Smooth-billed Ani,Aves
smbtin1,20570,Crypturellus parvirostris,Small-billed Tinamou,Aves
sobcac1,10365,Cacicus solitarius,Solitary Cacique,Aves
sobtyr1,16972,Camptostoma obsoletum,Southern Beardless Tyrannulet,Aves
socfly1,16842,Myiozetetes similis,Social Flycatcher,Aves
sofspi1,10996,Synallaxis frontalis,Sooty-fronted Spinetail,Aves
souant1,17264,Corythopis delalandi,Southern Antpipit,Aves
soulap1,4867,Vanellus chilensis,Southern Lapwing,Aves
souscr1,6910,Chauna torquata,Southern Screamer,Aves
spbant3,15959,Hypoedaleus guttatus,Spot-backed Antshrike,Aves
spispi1,10915,Synallaxis spixi,Spix's Spinetail,Aves
sptnig1,1584760,Antiurus maculicaudus,Spot-tailed Nightjar,Aves
squcuc1,1758,Piaya cayana,Common Squirrel-Cuckoo,Aves
stbwoo2,72806,Dendroplex picus,Straight-billed Woodcreeper,Aves
strcuc1,1989,Tapera naevia,Striped Cuckoo,Aves
strowl1,558468,Asio clamator,Striped Owl,Aves
swthum1,6065,Eupetomena macroura,Swallow-tailed Hummingbird,Aves
swtman1,14306,Chiroxiphia caudata,Swallow-tailed Manakin,Aves
tattin1,20587,Crypturellus tataupa,Tataupa Tinamou,Aves
toctou1,18793,Ramphastos toco,Toco Toucan,Aves
trokin,16787,Tyrannus melancholicus,Tropical Kingbird,Aves
varant1,15757,Thamnophilus caerulescens,Variable Antshrike,Aves
watjac1,4580,Jacana jacana,Wattled Jacana,Aves
wesfie1,1286886,Pyriglena maura,Western Fire-eye,Aves
whbant2,15902,Biatas nigropectus,White-bearded Antshrike,Aves
whbwar2,201224,Myiothlypis leucoblephara,White-browed Warbler,Aves
whiwoo1,18183,Melanerpes candidus,White Woodpecker,Aves
whlspi1,10992,Synallaxis albilora,White-lored Spinetail,Aves
whnjay1,8469,Cyanocorax cyanopogon,White-naped Jay,Aves
whwpic1,17786,Picumnus albosquamatus,White-wedged Piculet,Aves
y00678,4715,Caracara plancus,Crested Caracara,Aves
yebcar,10257,Paroaria capitata,Yellow-billed Cardinal,Aves
yebela1,16714,Elaenia flavogaster,Yellow-bellied Elaenia,Aves
yecmac,73272,Primolius auricollis,Golden-collared Macaw,Aves
yecpar,19215,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves
yehcar1,1432779,Daptrius chimachima,Yellow-headed Caracara,Aves
yeofly1,16567,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves
